nohup: ignoring input
═══════════════════════════════════════════════════
 Speech Separation Training — tasnet
═══════════════════════════════════════════════════
 Device:     CUDA
 Data:       ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360
 Epochs:     100
 Batch:      4 (effective 4 with 1x accum)
 LR:         0.001 (warmup 5 epochs, min 1e-06)
 SR:         8000 Hz
 Segment:    32000 (4s)
 Workers:    4
 Augment:    yes
 Ckpt dir:   ./checkpoints
═══════════════════════════════════════════════════

  [GPU] CUDA device available, 1 GPU(s)
Train CSV: ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
Val CSV:   ./data/Libri2Mix/Libri2Mix/wav8k/min/dev/mixture_dev_mix_clean.csv
[LibriMix] 50800 examples from ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
[LibriMix] CSV columns: mix=1 s1=2 s2=3
Parameters: 8.20173M

  [GPU] CUDA device available, 1 GPU(s)

  [Ep   1/100] 26.8% │ SI-SNR: 4.28 dB │ Loss: -4.2807 │ 1564s │ LR: 2e-04       
  [Ep   1/100] 27.0% │ SI-SNR: 4.29 dB │ Loss: -4.2888 │ 1575s │ LR: 2e-04       
  [Ep   1/100] 27.2% │ SI-SNR: 4.30 dB │ Loss: -4.3001 │ 1587s │ LR: 2e-04       
  [Ep   1/100] 27.4% │ SI-SNR: 4.31 dB │ Loss: -4.3118 │ 1598s │ LR: 2e-04       
  [Ep   1/100] 27.6% │ SI-SNR: 4.33 dB │ Loss: -4.3287 │ 1610s │ LR: 2e-04       
  [Ep   1/100] 27.8% │ SI-SNR: 4.34 dB │ Loss: -4.3416 │ 1621s │ LR: 2e-04       
  [Ep   1/100] 28.0% │ SI-SNR: 4.36 dB │ Loss: -4.3591 │ 1633s │ LR: 2e-04       
  [Ep   1/100] 28.1% │ SI-SNR: 4.37 dB │ Loss: -4.3677 │ 1644s │ LR: 2e-04       
  [Ep   1/100] 28.3% │ SI-SNR: 4.38 dB │ Loss: -4.3766 │ 1656s │ LR: 2e-04       
  [Ep   1/100] 28.5% │ SI-SNR: 4.39 dB │ Loss: -4.3878 │ 1667s │ LR: 2e-04       
  [Ep   1/100] 28.7% │ SI-SNR: 4.40 dB │ Loss: -4.3989 │ 1679s │ LR: 2e-04       
  [Ep   1/100] 28.9% │ SI-SNR: 4.41 dB │ Loss: -4.4094 │ 1690s │ LR: 2e-04       
  [Ep   1/100] 29.1% │ SI-SNR: 4.43 dB │ Loss: -4.4310 │ 1702s │ LR: 2e-04       
  [Ep   1/100] 29.3% │ SI-SNR: 4.44 dB │ Loss: -4.4408 │ 1713s │ LR: 2e-04       
  [Ep   1/100] 29.5% │ SI-SNR: 4.46 dB │ Loss: -4.4568 │ 1725s │ LR: 2e-04       
  [Ep   1/100] 29.7% │ SI-SNR: 4.47 dB │ Loss: -4.4707 │ 1736s │ LR: 2e-04       
  [Ep   1/100] 29.9% │ SI-SNR: 4.48 dB │ Loss: -4.4796 │ 1748s │ LR: 2e-04       
  [Ep   1/100] 30.1% │ SI-SNR: 4.49 dB │ Loss: -4.4914 │ 1759s │ LR: 2e-04       
  [Ep   1/100] 30.3% │ SI-SNR: 4.50 dB │ Loss: -4.4978 │ 1771s │ LR: 2e-04       
  [Ep   1/100] 30.5% │ SI-SNR: 4.51 dB │ Loss: -4.5130 │ 1782s │ LR: 2e-04       
  [Ep   1/100] 30.7% │ SI-SNR: 4.53 dB │ Loss: -4.5269 │ 1794s │ LR: 2e-04       
  [Ep   1/100] 30.9% │ SI-SNR: 4.54 dB │ Loss: -4.5390 │ 1806s │ LR: 2e-04       
  [Ep   1/100] 31.1% │ SI-SNR: 4.55 dB │ Loss: -4.5498 │ 1817s │ LR: 2e-04       
  [Ep   1/100] 31.3% │ SI-SNR: 4.57 dB │ Loss: -4.5668 │ 1829s │ LR: 2e-04       
  [Ep   1/100] 31.5% │ SI-SNR: 4.58 dB │ Loss: -4.5846 │ 1840s │ LR: 2e-04       
  [Ep   1/100] 31.7% │ SI-SNR: 4.60 dB │ Loss: -4.5997 │ 1852s │ LR: 2e-04       
  [Ep   1/100] 31.9% │ SI-SNR: 4.62 dB │ Loss: -4.6182 │ 1863s │ LR: 2e-04       
  [Ep   1/100] 32.1% │ SI-SNR: 4.63 dB │ Loss: -4.6299 │ 1875s │ LR: 2e-04       
  [Ep   1/100] 32.3% │ SI-SNR: 4.64 dB │ Loss: -4.6440 │ 1886s │ LR: 2e-04       
  [Ep   1/100] 32.5% │ SI-SNR: 4.66 dB │ Loss: -4.6643 │ 1898s │ LR: 2e-04       
  [Ep   1/100] 32.7% │ SI-SNR: 4.67 dB │ Loss: -4.6735 │ 1909s │ LR: 2e-04       
  [Ep   1/100] 32.9% │ SI-SNR: 4.69 dB │ Loss: -4.6870 │ 1921s │ LR: 2e-04       
  [Ep   1/100] 33.1% │ SI-SNR: 4.70 dB │ Loss: -4.6972 │ 1932s │ LR: 2e-04       
  [Ep   1/100] 33.3% │ SI-SNR: 4.71 dB │ Loss: -4.7125 │ 1944s │ LR: 2e-04       
  [Ep   1/100] 33.5% │ SI-SNR: 4.72 dB │ Loss: -4.7242 │ 1956s │ LR: 2e-04       
  [Ep   1/100] 33.7% │ SI-SNR: 4.73 dB │ Loss: -4.7315 │ 1967s │ LR: 2e-04       
  [Ep   1/100] 33.9% │ SI-SNR: 4.74 dB │ Loss: -4.7416 │ 1979s │ LR: 2e-04       
  [Ep   1/100] 34.1% │ SI-SNR: 4.76 dB │ Loss: -4.7574 │ 1990s │ LR: 2e-04       
  [Ep   1/100] 34.3% │ SI-SNR: 4.77 dB │ Loss: -4.7669 │ 2002s │ LR: 2e-04       
  [Ep   1/100] 34.4% │ SI-SNR: 4.78 dB │ Loss: -4.7808 │ 2013s │ LR: 2e-04       
  [Ep   1/100] 34.6% │ SI-SNR: 4.80 dB │ Loss: -4.7987 │ 2025s │ LR: 2e-04       
  [Ep   1/100] 34.8% │ SI-SNR: 4.82 dB │ Loss: -4.8173 │ 2036s │ LR: 2e-04       
  [Ep   1/100] 35.0% │ SI-SNR: 4.83 dB │ Loss: -4.8280 │ 2048s │ LR: 2e-04       
  [Ep   1/100] 35.2% │ SI-SNR: 4.84 dB │ Loss: -4.8413 │ 2059s │ LR: 2e-04       
  [Ep   1/100] 35.4% │ SI-SNR: 4.85 dB │ Loss: -4.8517 │ 2071s │ LR: 2e-04       
  [Ep   1/100] 35.6% │ SI-SNR: 4.86 dB │ Loss: -4.8591 │ 2082s │ LR: 2e-04       
  [Ep   1/100] 35.8% │ SI-SNR: 4.87 dB │ Loss: -4.8663 │ 2094s │ LR: 2e-04       
